CO_PROCEDIMENTO;no_proc_autorizado
04.16.01.019-9;REIMPLANTE URETERAL EM ONCOLOGIA - URETEROENTEROSTOMIA
04.16.01.020-2;SUPRARRENALECTOMIA EM ONCOLOGIA
04.16.01.021-0;NEFRECTOMIA PARCIAL EM ONCOLOGIA
04.16.01.022-9;AMPUTAÇÃO TOTAL AMPLIADA DE PÊNIS EM ONCOLOGIA
04.16.02.002-0;LINFADENECTOMIA PÉLVICA EM ONCOLOGIA
04.16.02.015-1;LINFADENECTOMIA RADICAL CERVICAL UNILATERAL EM ONCOLOGIA
04.16.02.016-0;LINFADENECTOMIA RADICAL MODIFICADA CERVICAL UNILATERAL EM ONCOLOGIA
04.16.02.017-8;LINFADENECTOMIA CERVICAL SUPRAOMO-HIOIDEA UNILATERAL EM ONCOLOGIA
04.16.02.018-6;LINFADENECTOMIA CERVICAL RECORRENCIAL UNILATERAL EM ONCOLOGIA
04.16.02.019-4;LINFADENECTOMIA MEDIASTINAL EM ONCOLOGIA
04.16.02.020-8;LINFADENECTOMIA SUPRACLAVICULAR UNILATERAL EM ONCOLOGIA
04.16.02.021-6;LINFADENECTOMIA AXILAR UNILATERAL EM ONCOLOGIA
04.16.02.022-4;LINFADENECTOMIA RETROPERITONIAL EM ONCOLOGIA
04.16.02.023-2;LINFADENECTOMIA INGUINAL UNILATERAL EM ONCOLOGIA
04.16.02.024-0;LINFADENECTOMIA SELETIVA GUIADA (LINFONODO SENTINELA) EM ONCOLOGIA
04.16.02.025-9;LINFADENECTOMIA INGUINO-ILIACA UNILATERAL EM ONCOLOGIA
04.16.03.001-7;PAROTIDECTOMIA PARCIAL EM ONCOLOGIA
04.16.03.002-5;RESSECÇÃO DE GLANDULA SALIVAR MENOR EM ONCOLOGIA
04.16.03.003-3;RESSECÇÃO DE GLANDULA SUBLINGUALEM ONCOLOGIA
04.16.03.004-1;RESSECÇÃO DE GLANDULA SUBMANDIBULAR EM ONCOLOGIA
04.16.03.006-8;GLOSSECTOMIA PARCIAL EM ONCOLOGIA
04.16.03.007-6;GLOSSECTOMIA TOTAL EM ONCOLOGIA
04.16.03.008-4;PARATIREOIDECTOMIA TOTAL EM ONCOLOGIA
04.16.03.009-2;PAROTIDECTOMIA TOTAL EM ONCOLOGIA
04.16.03.014-9;RESSECÇÃO EM CUNHA DE LÁBIO E SUTURA EM ONCOLOGIA
04.16.03.015-7;RESSECÇÃO PARCIAL DE LÁBIO COM ENXERTO OU RETALHO EM ONCOLOGIA
04.16.03.016-5;RESSECÇÃO TOTAL DE LÁBIO E RECONSTRUÇÃO COM RETALHO MIOCUTÂNEO EM ONCOLOGIA
04.16.03.017-3;MAXILECTOMIA PARCIAL EM ONCOLOGIA
04.16.03.018-1;MAXILECTOMIA TOTAL EM ONCOLOGIA
04.16.03.019-0;PELVIGLOSSOMANDIBULECTOMIA EM ONCOLOGIA
04.16.03.020-3;PAROTIDECTOMIA TOTAL AMPLIADA EM ONCOLOGIA
04.16.03.021-1;FARINGECTOMIA PARCIAL EM ONCOLOGIA
04.16.03.022-0;FARINGECTOMIA TOTAL EM ONCOLOGIA
04.16.03.023-8;RESSECÇÃO DE TUMOR DE RINOFARINGE EM ONCOLOGIA
04.16.03.024-6;EXENTERAÇÃO DE ÓRBITA EM ONCOLOGIA
04.16.03.025-4;LARINGECTOMIA PARCIAL EM ONCOLOGIA
04.16.03.026-2;LARINGECTOMIA TOTAL EM ONCOLOGIA
04.16.03.027-0;TIREOIDECTOMIA TOTAL EM ONCOLOGIA
04.16.03.028-9;RECONSTRUÇÃO PARA FONAÇÂO EM ONCOLOGIA
04.16.03.029-7;TRAQUEOSTOMIA TRANSTUMORAL EM ONCOLOGIA
04.16.03.030-0;MANDIBULECTOMIA PARCIAL EM ONCOLOGIA
04.16.03.031-9;MANDIBULECTOMIA TOTAL EM ONCOLOGIA
04.16.03.032-7;RESSECÇÃO DE PAVILHÃO AURICULAR EM ONCOLOGIA
04.16.03.033-5;LIGADURA DE CARÓTIDA EM ONCOLOGIA
04.16.03.034-3;RESSECÇÃODE TUMOR GLOMICO EM ONCOLOGIA
04.16.03.035-1;RESSECÇÃO DE LESÃO MALIGNA DE MUCOSA BUCAL EM ONCOLOGIA
04.16.03.036-0;RESSECÇÃO DE TUMOR TIREOIDIANO POR VIA TRANSESTERNAL EM ONCOLOGIA
04.16.04.001-2;ANASTOMOSE BILEO-DIGESTIVA EM ONCOLOGIA
04.16.04.002-0;COLEDOCOSTOMIA COM OU SEM COLECISTECTOMIA EM ONCOLOGIA
04.16.04.003-9;ESOFAGOGASTRECTOMIA COM TORACOTOMIA EM ONCOLOGIA
04.16.04.004-7;ESOFAGOCOLOPLASTIA OU ESOFAGOGASTROPLASTIA EM ONCOLOGIA
04.16.04.005-5;ESOFAGOGASTRECTOMIA SEM TORACOTOMIA EM ONCOLOGIA
04.16.04.007-1;GASTRECTOMIA TOTAL EM ONCOLOGIA
04.16.04.010-1;HEPATECTOMIA PARCIAL EM ONCOLOGIA
04.16.04.011-0;PANCREATECTOMIA PARCIAL EM ONCOLOGIA
04.16.04.012-8;DUODENOPANCREATECTOMIA EM ONCOLOGIA
04.16.04.014-4;RESSECÇÃO DE TUMOR RETROPERITONIAL COM RESSECÇÃO DE ÓRGÃOS CONTÍGUOS EM ONCOLOGIA
04.16.04.017-9;ALCOOLIZAÇÃO PERCUTÂNEA DE CARCINOMA HEPÁTICO
04.16.04.018-7;TRATAMENTO DE CARCINOMA HEPÁTICO POR RADIOFREQUÊNCIA
04.16.04.019-5;QUIMIOEMBOLIZAÇÃO DE CARCINOMA HEPÁTICO
04.16.04.020-9;BIOPSIAS MULTIPLAS INTRA-ABDOMINAIS EM ONCOLOGIA
04.16.04.021-7;GASTRECTOMIA PARCIAL EM ONCOLOGIA
04.16.04.022-5;METASTASECTOMIA HEPÁTICA EM ONCOLOGIA
04.16.04.023-3;COLECISTECTOMIA EM ONCOLOGIA
04.16.04.024-1;RESSECÇÃO AMPLIADA DE VIA BILIAR EXTRA-HEPÁTICA EM ONCOLOGIA
04.16.04.025-0;RESSECÇÃO DE TUMOR RETROPERITONIAL EM ONCOLOGIA
04.16.04.026-8;RESSECÇÃO ALARGADA DE TUMOR DE PARTES MOLES DE PAREDE ABDOMINAL EM ONCOLOGIA
04.16.04.027-6;RESSECÇÃO ALARGADA DE TUMOR DE INTESTINO EM ONCOLOGIA
04.16.04.028-4;IMPLANTAÇÃO ENDOSCÓPICA DE STENT ESOFÁGICO
04.16.04.029-2;PERITONECTOMIA EM ONCOLOGIA
04.16.05.001-8;AMPUTAÇÃO ABDOMINO-PERINEAL DE RETO EM ONCOLOGIA
04.16.05.002-6;COLECTOMIA PARCIAL (HEMICOLECTOMIA) EM ONCOLOGIA
04.16.05.003-4;COLECTOMIA TOTAL EM ONCOLOGIA
04.16.05.005-0;EXCISÃO LOCAL DE TUMOR DO RETO EM ONCOLOGIA
04.16.05.007-7;RETOSSIGMOIDECTOMIA ABDOMINAL EM ONCOLOGIA
04.16.05.009-3;EXENTERAÇÃO PÉLVICA POSTERIOR EM ONCOLOGIA
04.16.05.010-7;EXENTERAÇÃO PÉLVICA TOTAL EM ONCOLOGIA
04.16.05.011-5;PROCTOCOLECTOMIA TOTAL EM ONCOLOGIA
04.16.06.001-3;AMPUTAÇÃO CÔNICA DE COLO DE ÚTERO COM COLPECTOMIA EM ONCOLOGIA
04.16.06.002-1;ANEXECTOMIA UNI / BILATERAL EM ONCOLOGIA
04.16.06.003-0;COLPECTOMIA EM ONCOLOGIA
04.16.06.005-6;HISTERECTOMIA COM RESSECÇÃO DE ÓRGÃOS CONTÍGUOS EM ONCOLOGIA
04.16.06.006-4;HISTERECTOMIA TOTAL AMPLIADA EM ONCOLOGIA
04.16.06.008-0;TRAQUELECTOMIA RADICAL EM ONCOLOGIA
04.16.06.009-9;VULVECTOMIA TOTAL AMPLIADA C/ LINFADENECTOMIA EM ONCOLOGIA
04.16.06.010-2;VULVECTOMIA PARCIAL EM ONCOLOGIA
04.16.06.011-0;HISTERECTOMIA COM OU SEM ANEXECTOMIA (UNI / BILATERAL) EM ONCOLOGIA
04.16.06.012-9;LAPAROTOMIA PARA AVALIAÇÃO DE TUMOR DE OVARIO EM ONCOLOGIA
04.16.08.001-4;EXCISÂO E ENXERTO DE PELE EM ONCOLOGIA
04.16.08.003-0;EXCISÃO E SUTURA COM PLASTICA EM Z NA PELE EM ONCOLOGIA
04.16.08.008-1;RECONSTRUÇÃO COM RETALHO MIOCUTÂNEO (QUALQUER PARTE) EM ONCOLOGIA
04.16.08.009-0;RECONSTRUÇÃO POR MICROCIRURGIA (QUALQUER PARTE) EM ONCOLOGIA
04.16.08.011-1;RECONSTRUÇÃO COM RETALHO OSTEOMIOCUTÂNEO EM ONCOLOGIA
04.16.08.012-0;EXTIRPAÇÃO MÚLTIPLA DE LESÃO DA PELE OU TECIDO CELULAR SUBCUTÂNEO EM ONCOLOGIA
04.16.09.001-0;AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS INFERIORES EM ONCOLOGIA
04.16.09.002-8;AMPUTAÇÃO / DESARTICULAÇÃO DE MEMBROS SUPERIORES EM ONCOLOGIA
04.16.09.003-6;HEMIPELVECTOMIA EM ONCOLOGIA
04.16.09.007-9;SACRALECTOMIA (ENDOPELVECTOMIA) EM ONCOLOGIA
04.16.09.010-9;RESSECÇÃO DE TUMOR ÓSSEO COM SUBSTITUIÇÃO (ENDOPRÓTESE) OU COM RECONSTRUÇÃO E FIXAÇÃO EM ONCOLOGIA
04.16.09.011-7;DESARTICULAÇÃO INTERESCAPULO-TORÁCICA EM ONCOLOGIA
04.16.09.012-5;DESARTICULAÇÃO ESCAPULO-TORÁCICA INTERNA EM ONCOLOGIA
04.16.09.013-3;RESSECÇÃO DE TUMOR DE PARTES MOLES EM ONCOLOGIA
04.16.11.001-0;LOBECTOMIA PULMONAR EM ONCOLOGIA
04.16.11.002-9;PNEUMOMECTOMIA RADICAL EM ONCOLOGIA
04.16.11.003-7;TORACECTOMIA COMPLEXA EM ONCOLOGIA
04.16.11.004-5;TORACECTOMIA SIMPLES EM ONCOLOGIA
04.16.11.005-3;TORACOTOMIA EXPLORADORA EM ONCOLOGIA
04.16.11.006-1;SEGMENTECTOMIA PULMONAR EM ONCOLOGIA
04.16.11.007-0;RESSECÇAO PULMONAR EM CUNHA EM ONCOLOGIA
04.16.11.008-8;TIMECTOMIA EM ONCOLOGIA
04.16.12.002-4;MASTECTOMIA RADICAL COM LINFADENECTOMIA AXILAR EM ONCOLOGIA
04.16.12.003-2;MASTECTOMIA SIMPLES EM ONCOLOGIA
04.16.12.004-0;RESSECÇÃO DE LESÃO NÃO PALPÁVEL DE MAMA COM MARCAÇÃO EM ONCOLOGIA (POR MAMA)
04.16.12.005-9;SEGMENTECTOMIA/QUADRANTECTOMIA/SETORECTOMIA DE MAMA EM ONCOLOGIA
04.18.01.001-3;CONFECÇÃO DE FISTULA ARTERIO-VENOSA COM ENXERTIA DE POLITETRAFLUORETILENO (PTFE)
04.18.01.002-1;CONFECÇÃO DE FÍSTULA ARTERIO-VENOSA COM ENXERTO AUTOLOGO
04.18.01.003-0;CONFECÇÃO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE
04.18.01.004-8;IMPLANTE DE CATETER DE LONGA PERMANÊNCIA P/ HEMODIALISE
04.18.01.008-0;IMPLANTE DE CATETER TIPO TENCKHOFF OU SIMILAR P/ DPA/DPAC
04.18.02.001-9;INTERVENÇÃO EM FISTULA ARTERIO-VENOSA
04.18.02.002-7;LIGADURA DE FISTULA ARTERIO-VENOSA
04.04.01.031-8;RETIRADA DE CORPO ESTRANHO DE OUVIDO / FARINGE / LARINGE / NARIZ
04.04.02.031-3;RETIRADA DE CORPO ESTRANHO DOS OSSOS DA FACE
04.04.02.058-5;REDUÇÃO DE FRATURA DA MAXILA - LE FORT I SEM OSTEOSSÍNTESE.
04.04.02.059-3;REDUÇÃO DE FRATURA DA MAXILA - LE FORT II, SEM OSTEOSSÍNTESE
04.04.02.060-7;REDUÇÃO DE FRATURA DA MANDÍBULA SEM OSTEOSSINTESE
04.06.02.010-8;DISSECCAO RADICAL DO PESCOCO
04.06.04.014-1;COLOCAÇÃO PERCUTÂNEA DE FILTRO DE VEIA CAVA (NA TROMBOSE VENOSA PERIFÉRICA E EMBOLIA PULMONAR
04.07.04.016-1;LAPAROTOMIA EXPLORADORA
04.0801.019-3;TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESCAPULO-UMERAL AGUDA
04.08.02.048-2;TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO
04.08.04.017-3;REDUÇÃO INCRUENTA C/ MANIPULAÇÃO DE LUXAÇÃO ESPONTANEA / PROGRESSIVA DO QUADRIL COM APLICAÇÃO DE DISPOSITIVOS DE CONTENÇÃO
04.08.05.004-7;ARTROPLASTIA DE JOELHO (NAO CONVENCIONAL)
04.08.05.066-7;TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR MEMBRO INFERIOR (JOELHO / TORNOZELO)
04.09.06.010-0;HISTERECTOMIA (POR VIA VAGINAL)
